Common Name,Wingspan (cm),Release Date
Kiwi,0.1,
Woodstar,26.7,
Hummingbird,28.2,"April 11, 2026"
Pygmy-Tyrant,32,"April 11, 2026"
Hermit,33.2,"April 13, 2026"
Thorntail,33.2,"April 16, 2026"
Sheartail,36.5,"April 19, 2026"
Coquette,37.2,
Emuwren,37.8,
Tody-Flycatcher,37.9,
Emerald,40.4,
Gnatcatcher,40.5,
Snowcap,40.6,
Antwren,41,
Tyrannulet,41,
Tyrant,41.1,
Plumed-Warbler,41.3,
Fairywren,41.4,
Sunbird,41.4,
Scrub-Tyrant,41.7,
Doradito,42,
Jery,42,
Spatuletail,42,
Tailorbird,42,
Tody,42.3,
Racket-tail,42.6,
Prinia,43.1,
Oliveback,43.2,
Warbler,43.4,
Waxbill,43.4,
Tachuri,43.6,
Tody-Tyrant,43.8,
Flowerpecker,44,
Wren,44.2,
Locustfinch,44.5,
Cisticola,44.6,
Munia,44.9,
Apalis,45,
Bentbill,45,
Newtonia,45,
Bushtit,45.2,
Elachura,45.6,
Piedtail,45.6,
Tit-hylia,45.6,
Longbill,45.8,
Rifleman,46,
Crombec,46.2,
Flycatcher,46.4,
Tapaculo,46.4,
Antpecker,46.5,
Wren-Babbler,46.5,
Sunbird-Asity,46.6,
Longtail,46.7,
Eremomela,46.8,
Manakin,46.8,
Streaked-Antwren,46.9,
Tyrant-Manakin,47.2,
Avadavat,47.4,
Grassquit,47.5,
Parrotbill,47.5,
Plovercrest,47.5,
Tesia,47.6,
Kingfisher,47.7,
Sapphire,47.8,
Sungem,47.8,
Thornbill,47.8,
Calyptura,47.9,
Piculet,48,
Tit-Tyrant,48,
Firefinch,48.4,
Mannikin,48.4,
Seedeater,48.5,
Batis,48.6,
Camaroptera,48.6,
Tit,48.6,
Blossomcrown,48.7,
Penduline-Tit,49,
Bamboowren,49.1,
Daggerbill,49.1,
Heleia,49.2,
Beardless-Tyrannulet,49.4,
Euphonia,49.5,
Goldentail,49.5,
Stipplethroat,49.5,
Gerygone,49.6,
Puffleg,49.6,
Weebill,49.6,
Wren-Spinetail,49.6,
Wood-Wren,49.7,
Emutail,49.9,
Cupwing,50,
Honeycreeper,50,
Pygmy-Babbler,50,
Gnatwren,50.2,
Tinkerbird,50.3,
White-eye,50.3,
Cordonbleu,50.4,
Manakin-Tyrant,50.4,
Twinspot,50.5,
Warbler-Finch,50.5,
Wiretail,50.5,
Stubtail,50.6,
Whitetip,50.6,
Finch,50.7,
Spinetail,50.7,
Babbler,51,
Myzomela,51,
Quailfinch,51.1,
Antbird,51.2,
Woodland-Warbler,51.2,
Wattle-eye,51.3,
Crescentchest,51.5,
Trainbearer,51.7,
Chiffchaff,51.8,
Sunangel,51.8,
Firetail,52,
Fulvetta,52,
Thistletail,52,
Dwarf-Kingfisher,52.1,
Tit-Warbler,52.1,
Verdin,52.1,
Wagtail-Tyrant,52.1,
Warbling-Antbird,52.1,
Grassbird,52.2,
Yellowthroat,52.2,
Firecrest,52.3,
Woodnymph,52.3,
Flamecrest,52.5,
Greenlet,52.5,
Nigrita,52.6,
Tit-Spinetail,52.6,
Parula,52.7,
Lancebill,52.8,
Parrotfinch,52.8,
Goldcrest,52.9,
Sparrow,53,
Pygmy-Parrot,53.2,
Crimsonwing,53.4,
Visorbearer,53.4,
Silverbill,53.6,
Conebill,53.8,
Flatbill,53.9,
Chat,54,
Starthroat,54.1,
Grenadier,54.2,
Metaltail,54.2,
Graytail,54.3,
Spadebill,54.4,
Spinifexbird,54.4,
Whiteface,54.4,
Bananaquit,54.6,
Heathwren,54.8,
Vireo,54.8,
Fairy-Fantail,54.9,
Bishop,55,
Seed-Finch,55,
Fieldwren,55.1,
Flowerpiercer,55.2,
Pytilia,55.2,
Yuhina,55.2,
Tanager,55.4,
Helmetcrest,55.5,
Scrubwren,55.6,
Thornbird,55.6,
Awlbill,55.8,
Weaver,55.8,
Redthroat,56,
Scrubtit,56,
Pardalote,56.5,
Tit-Babbler,56.5,
Barbthroat,56.6,
Goldenthroat,56.6,
Purpletuft,56.6,
Shortwing,56.6,
Canastero,56.7,
Rufous-Warbler,56.7,
Reedhaunter,56.8,
Plushcrown,56.9,
Rushbird,57,
Chlorophonia,57.2,
Kinglet,57.2,
Robin,57.2,
Elaenia,57.3,
Anianiau,57.5,
Siskin,57.5,
Dacnis,57.6,
Silvery-Kingfisher,57.6,
Grasswren,57.7,
Antvireo,57.8,
Myzornis,58,
Wrentit,58,
Yellow-Warbler,58,
Quelea,58.1,
Boatbill,58.2,
Yellow-Finch,58.2,
Canary-Flycatcher,58.4,
Berrypecker,58.5,
Sylph,58.7,
Tit-Flycatcher,58.7,
Chickadee,58.8,
Shrike-Babbler,59,
Silvereye,59,
Wren-Warbler,59,
Seedcracker,59.2,
Antshrike,59.3,
Rayadito,59.4,
Barbtail,59.5,
Honeyeater,59.5,
Carib,59.6,
Nunlet,59.8,
Mistletoebird,59.9,
Chat-Tyrant,60,
Firecrown,60,
Redstart,60,
Reedling,60,
Alauahio,60.2,
Thamnornis,60.2,
Pipipi,60.4,
Millerbird,60.5,
Canary,60.6,
Flycatcher-shrike,60.7,
Stonechat,60.8,
Goldfinch,60.9,
Jewelfront,61,
Broadbill,61.1,
Xenops,61.1,
Brush-Warbler,61.2,
Ground-Finch,61.2,
Pewee,61.2,
Spinebill,61.3,
Tree-Finch,61.3,
Hylia,61.5,
Iora,61.6,
Akekee,61.8,
Akepa,61.8,
Amakihi,62,
Grass-Finch,62,
Inca-Finch,62,
Mountain-gem,62,
Plain-Xenops,62,
Tetraka,62,
Vanga,62,
Streamertail,62.1,
Striped-Babbler,62.1,
Treecreeper,62.1,
Bracken-Warbler,62.3,
Prickletail,62.4,
Scrub-Robin,62.4,
Brilliant,62.5,
Hyliota,62.5,
Violetear,62.5,
Mango,62.7,
Wrenthrush,62.7,
Goldenface,62.8,
Speirops,62.8,
Antpitta,62.9,
Graveteiro,62.9,
Indigobird,62.9,
Monklet,62.9,
Scrub-bird,62.9,
Honeyguide,63,
Sabrewing,63,
Short-tail,63,
Accentor,63.1,
Pipit,63.1,
Avocetbill,63.2,
Citril,63.2,
Comet,63.2,
Niltava,63.2,
Odedi,63.2,
Thicketbird,63.2,
Fody,63.3,
Parisoma,63.4,
Creeper,63.6,
Minla,63.6,
Velvetbreast,63.6,
Whipbird,63.7,
Fairy,63.8,
Fantail,63.8,
Piprites,63.8,
Chlorospingus,63.9,
Plumeleteer,63.9,
Water-Tyrant,63.9,
Xenopsaris,63.9,
Hemispingus,64,
Serin,64,
Titmouse,64,
Bushbird,64.2,
Greenbul,64.2,
Antpipit,64.4,
Whydah,64.5,
Becard,64.6,
Honeybird,64.7,
Bunting,64.8,
Fernwren,64.8,
Monarch,64.9,
Nuthatch,65,
Oxylabes,65,
Plushcap,65,
Puffbird,65,
Hanging-Parrot,65.1,
Whitethroat,65.1,
Dove,65.2,
Gnateater,65.2,
Masked-Weaver,65.2,
Scrub-Flycatcher,65.2,
