dataset,ioc_name,family,ioc_latin,method,confidence,matched_name,value,note
AVONET,Sabah Partridge,Pheasants & Allies,Tropicoperdix graydoni,genus-synonym,medium,Arborophila graydoni,269.2g/160.4mm/Forest/Omnivore/sedentary,
AVONET,Tschudi's Nightjar,Nightjars,Quechuavis decussata,genus-synonym,medium,Systellura decussata,45.6g/133.2mm/Shrubland/Invertivore/sedentary,corroborated by IUCN
AVONET,Cinnamon-sided Hummingbird,Hummingbirds,Ramosomyia wagneri,genus-synonym,medium,Amazilia wagneri,6.3g/57.1mm/Woodland/Nectarivore/sedentary,corroborated by IUCN
AVONET,Copper-tailed Hummingbird,Hummingbirds,Saucerottia cupreicauda,genus-synonym,medium,Amazilia cupreicauda,3.7g/49.2mm/Forest/Nectarivore/sedentary,
AVONET,Ruspoli's Turaco,Turacos,Menelikornis ruspolii,genus-synonym,medium,Tauraco ruspolii,263.0g/182.0mm/Woodland/Frugivore/sedentary,corroborated by IUCN
AVONET,White-throated Ground Dove,"Pigeons, Doves",Pampusana xanthonura,genus-synonym,medium,Gallicolumba xanthonura,110.6g/139.2mm/Forest/Frugivore/sedentary,
AVONET,Rufous-faced Crake,"Rails, Crakes & Coots",Rufirallus xenopterus,genus-synonym,medium,Laterallus xenopterus,56.9g/69.5mm/Grassland/Aquatic predator/sedentary,
AVONET,Red-and-white Crake,"Rails, Crakes & Coots",Rufirallus leucopyrrhus,genus-synonym,medium,Laterallus leucopyrrhus,45.5g/78.6mm/Wetland/Aquatic predator/sedentary,corroborated by IUCN
AVONET,Double-striped Thick-knee,"Stone-curlews, Thick-knees",Hesperoburhinus bistriatus,genus-synonym,medium,Burhinus bistriatus,787.0g/241.8mm/Grassland/Invertivore/sedentary,corroborated by IUCN
AVONET,Three-banded Plover,Plovers,Thinornis tricollaris,genus-synonym,medium,Charadrius tricollaris,31.2g/109.0mm/Wetland/Aquatic predator/sedentary,corroborated by IUCN
AVONET,Long-billed Plover,Plovers,Thinornis placidus,genus-synonym,medium,Charadrius placidus,62.7g/137.8mm/Riverine/Aquatic predator/migratory,corroborated by IUCN
AVONET,Oriental Plover,Plovers,Anarhynchus veredus,genus-synonym,medium,Charadrius veredus,95.0g/158.6mm/Wetland/Omnivore/migratory,
AVONET,Siberian Sand Plover,Plovers,Anarhynchus mongolus,genus-synonym,medium,Charadrius mongolus,64.0g/128.8mm/Wetland/Aquatic predator/migratory,
AVONET,Wilson's Plover,Plovers,Anarhynchus wilsonia,genus-synonym,medium,Charadrius wilsonia,55.1g/117.4mm/Coastal/Aquatic predator/partial,
AVONET,Two-banded Plover,Plovers,Anarhynchus falklandicus,genus-synonym,medium,Charadrius falklandicus,65.0g/126.0mm/Wetland/Aquatic predator/migratory,
AVONET,Kittlitz's Plover,Plovers,Anarhynchus pecuarius,genus-synonym,medium,Charadrius pecuarius,34.0g/102.2mm/Wetland/Aquatic predator/sedentary,
AVONET,St. Helena Plover,Plovers,Anarhynchus sanctaehelenae,genus-synonym,medium,Charadrius sanctaehelenae,48.7g/111.4mm/Grassland/Invertivore/sedentary,
AVONET,Snowy Plover,Plovers,Anarhynchus nivosus,genus-synonym,medium,Charadrius nivosus,42.3g/102.5mm/Coastal/Aquatic predator/partial,
AVONET,Kentish Plover,Plovers,Anarhynchus alexandrinus,genus-synonym,medium,Charadrius alexandrinus,42.3g/106.2mm/Coastal/Aquatic predator/partial,corroborated by IUCN
AVONET,White-faced Plover,Plovers,Anarhynchus dealbatus,genus-synonym,medium,Charadrius dealbatus,42.3g/107.7mm/Coastal/Aquatic predator/partial,
AVONET,Chestnut-flanked Sparrowhawk,"Kites, Hawks, Eagles",Aerospiza castanilius,genus-synonym,medium,Accipiter castanilius,157.5g/163.5mm/Forest/Vertivore/partial,corroborated by IUCN
AVONET,African Goshawk,"Kites, Hawks, Eagles",Aerospiza tachiro,genus-synonym,medium,Accipiter tachiro,290.2g/217.4mm/Forest/Vertivore/sedentary,corroborated by IUCN
AVONET,Rufous-necked Sparrowhawk,"Kites, Hawks, Eagles",Tachyspiza erythrauchen,genus-synonym,medium,Accipiter erythrauchen,156.0g/191.2mm/Forest/Vertivore/sedentary,corroborated by IUCN
AVONET,Vinous-breasted Sparrowhawk,"Kites, Hawks, Eagles",Tachyspiza rhodogaster,genus-synonym,medium,Accipiter rhodogaster,172.7g/172.6mm/Forest/Vertivore/sedentary,corroborated by IUCN
AVONET,Chinese Sparrowhawk,"Kites, Hawks, Eagles",Tachyspiza soloensis,genus-synonym,medium,Accipiter soloensis,164.8g/187.8mm/Forest/Vertivore/migratory,corroborated by IUCN
AVONET,Frances's Sparrowhawk,"Kites, Hawks, Eagles",Tachyspiza francesiae,genus-synonym,medium,Accipiter francesiae,136.8g/155.8mm/Forest/Invertivore/sedentary,corroborated by IUCN
AVONET,Variable Goshawk,"Kites, Hawks, Eagles",Tachyspiza hiogaster,genus-synonym,medium,Accipiter hiogaster,326.1g/197.2mm/Forest/Vertivore/sedentary,corroborated by IUCN
AVONET,Imitator Goshawk,"Kites, Hawks, Eagles",Tachyspiza imitator,genus-synonym,medium,Accipiter imitator,222.5g/200.0mm/Forest/Vertivore/sedentary,corroborated by IUCN
AVONET,Cooper's Hawk,"Kites, Hawks, Eagles",Astur cooperii,genus-synonym,medium,Accipiter cooperii,429.7g/241.2mm/Woodland/Vertivore/migratory,corroborated by IUCN
AVONET,Gundlach's Hawk,"Kites, Hawks, Eagles",Astur gundlachi,genus-synonym,medium,Accipiter gundlachi,675.0g/228.0mm/Forest/Vertivore/sedentary,corroborated by IUCN
AVONET,Eurasian Goshawk,"Kites, Hawks, Eagles",Astur gentilis,genus-synonym,medium,Accipiter gentilis,866.0g/337.6mm/Forest/Vertivore/partial,corroborated by IUCN
AVONET,Meyer's Goshawk,"Kites, Hawks, Eagles",Astur meyerianus,genus-synonym,medium,Accipiter meyerianus,763.5g/309.5mm/Forest/Vertivore/sedentary,corroborated by IUCN
AVONET,Henst's Goshawk,"Kites, Hawks, Eagles",Astur henstii,genus-synonym,medium,Accipiter henstii,1050.0g/290.5mm/Forest/Vertivore/sedentary,corroborated by IUCN
AVONET,African Fish Eagle,"Kites, Hawks, Eagles",Icthyophaga vocifer,genus-synonym,medium,Haliaeetus vocifer,3400.0g/548.2mm/Wetland/Aquatic predator/sedentary,corroborated by IUCN
AVONET,Madagascar Fish Eagle,"Kites, Hawks, Eagles",Icthyophaga vociferoides,genus-synonym,medium,Haliaeetus vociferoides,3000.0g/487.2mm/Woodland/Aquatic predator/sedentary,corroborated by IUCN
AVONET,Makira Owl,Owls,Athene roseoaxillaris,genus-synonym,medium,Ninox roseoaxillaris,200.8g/148.2mm/Forest/Invertivore/sedentary,corroborated by IUCN
AVONET,Blue-fronted Fig Parrot,Old World Parrots,Nannopsittacus gulielmitertii,genus-synonym,medium,Cyclopsitta gulielmitertii,31.0g/90.0mm/Forest/Granivore/sedentary,corroborated by IUCN
AVONET,Dusky-cheeked Fig Parrot,Old World Parrots,Nannopsittacus melanogenia,genus-synonym,medium,Cyclopsitta melanogenia,31.0g/77.0mm/Forest/Granivore/sedentary,corroborated by IUCN
AVONET,Slaty-winged Foliage-gleaner,Ovenbirds,Neophilydor fuscipenne,genus-synonym,medium,Philydor fuscipenne,26.4g/86.7mm/Forest/Invertivore/sedentary,corroborated by IUCN
AVONET,Rufous-rumped Foliage-gleaner,Ovenbirds,Neophilydor erythrocercum,genus-synonym,medium,Philydor erythrocercum,25.3g/86.7mm/Forest/Invertivore/sedentary,corroborated by IUCN
AVONET,Caatinga Antwren,Antbirds,Radinopsyche sellowi,genus-synonym,medium,Herpsilochmus sellowi,7.5g/48.0mm/Woodland/Invertivore/sedentary,
AVONET,Sao Paulo Bristle Tyrant,"Tyrant Flycatchers, Calyptura",Pogonotriccus paulista,genus-synonym,medium,Phylloscartes paulista,7.5g/49.1mm/Forest/Invertivore/sedentary,corroborated by IUCN
AVONET,Western Jackdaw,"Crows, Jays",Coloeus monedula,genus-synonym,medium,Corvus monedula,246.0g/231.1mm/Human Modified/Omnivore/partial,corroborated by IUCN
AVONET,Daurian Jackdaw,"Crows, Jays",Coloeus dauuricus,genus-synonym,medium,Corvus dauuricus,208.0g/232.3mm/Grassland/Omnivore/partial,corroborated by IUCN
AVONET,Wilson's Bird-of-paradise,Birds-of-paradise,Diphyllodes respublica,genus-synonym,medium,Cicinnurus respublica,58.4g/95.6mm/Forest/Omnivore/sedentary,corroborated by IUCN
AVONET,Gillett's Lark,Larks,Calendulauda gilletti,genus-synonym,medium,Mirafra gilletti,22.4g/84.6mm/Shrubland/Omnivore/sedentary,
AVONET,Bengal Bush Lark,Larks,Plocealauda assamica,genus-synonym,medium,Mirafra assamica,26.2g/79.8mm/Grassland/Omnivore/sedentary,
AVONET,Flappet Lark,Larks,Amirafra rufocinnamomea,genus-synonym,medium,Mirafra rufocinnamomea,26.3g/78.2mm/Woodland/Invertivore/sedentary,
AVONET,Cape Clapper Lark,Larks,Corypha apiata,genus-synonym,medium,Mirafra apiata,26.9g/80.2mm/Grassland/Invertivore/sedentary,
AVONET,Red-winged Lark,Larks,Corypha hypermetra,genus-synonym,medium,Mirafra hypermetra,61.4g/112.4mm/Grassland/Invertivore/sedentary,corroborated by IUCN
AVONET,Blue-wattled Bulbul,Bulbuls,Microtarsus nieuwenhuisii,genus-synonym,medium,Pycnonotus nieuwenhuisii,25.5g/84.7mm/Forest/Frugivore/partial,
AVONET,Larwo Shama,"Chats, Old World Flycatchers",Copsychus omissus,genus-synonym,medium,Cyornis omissus,18.0g/73.6mm/Forest/Invertivore/sedentary,corroborated by IUCN
AVONET,Blue-fronted Blue Flycatcher,"Chats, Old World Flycatchers",Eumyias hoevelli,genus-synonym,medium,Cyornis hoevelli,20.5g/86.4mm/Forest/Invertivore/sedentary,corroborated by IUCN
AVONET,Bornean Forktail,"Chats, Old World Flycatchers",Enicurus borneensis,genus-synonym,medium,Myophonus borneensis,89.7g/143.8mm/Forest/Omnivore/sedentary,corroborated by IUCN
AVONET,Legge's Flowerpecker,Flowerpeckers,Pachyglossa vincens,genus-synonym,medium,Dicaeum vincens,8.5g/55.5mm/Forest/Frugivore/sedentary,corroborated by IUCN
AVONET,Lanai Hookbill,"Finches, Euphonias",Dysmorodrepanis munroi,genus-synonym,medium,Hemignathus munroi,28.0g/73.4mm/Forest/Invertivore/sedentary,
AVONET,Black-cheeked Ant Tanager,Cardinals & Allies,Driophlox atrimaxillaris,genus-synonym,medium,Habia atrimaxillaris,48.9g/93.5mm/Forest/Invertivore/sedentary,corroborated by IUCN
AVONET,Samoan Woodhen,"Rails, Crakes & Coots",Gallinula pacifica,crosswalk (1BL to 1eBird),low,Pareudiastes pacificus,450.0g/122.0mm/None/None/None,
AVONET,North Island Takahe,"Rails, Crakes & Coots",Porphyrio mantelli,crosswalk (Many BL to 1BT),low,Porphyrio hochstetteri,2462.2g/232.5mm/Grassland/Omnivore/sedentary,
AVONET,North Island Snipe,"Sandpipers, Snipes",Coenocorypha barrierensis,crosswalk (Many BL to 1BT),low,Coenocorypha aucklandica,108.2g/99.8mm/Grassland/Invertivore/sedentary,
AVONET,South Island Snipe,"Sandpipers, Snipes",Coenocorypha iredalei,crosswalk (Many BL to 1BT),low,Coenocorypha aucklandica,108.2g/99.8mm/Grassland/Invertivore/sedentary,
AVONET,Nuku Hiva Monarch,Monarchs,Pomarea nukuhivae,crosswalk (Many BL to 1BT),low,Pomarea mendozae,29.6g/90.2mm/Forest/Invertivore/sedentary,
AVONET,Eiao Monarch,Monarchs,Pomarea fluxa,crosswalk (Many BL to 1BT),low,Pomarea iphis,23.9g/89.8mm/Forest/Invertivore/sedentary,
AVONET,Aguiguan Reed Warbler,Reed Warblers & Allies,Acrocephalus nijoi,crosswalk (Many BL to 1BT),low,Acrocephalus luscinius,30.6g/85.7mm/Wetland/Invertivore/sedentary,
